201799.07 ,3921504.88 
204244.20 ,3914003.91 
214251.77 ,3912406.09 
218588.93 ,3910884.06 
219145.66 ,3914596.21 
221998.09 ,3913620.58 
224217.51 ,3909714.22 
225900.79 ,3910379.16 
229058.51 ,3906355.97 
229948.85 ,3902683.49 
232766.93 ,3903622.41 
238744.67 ,3901319.61 
245818.78 ,3899564.28 
248359.61 ,3899096.46 
248342.55 ,3907965.99 
246396.69 ,3911794.32 
246880.26 ,3917538.23 
244071.01 ,3920154.94 
242852.17 ,3917536.55 
237153.92 ,3922144.77 
237690.35 ,3917690.69 
234204.14 ,3915423.01 
233665.76 ,3919095.64 
232226.26 ,3922103.65 
228970.52 ,3918155.93 
226634.26 ,3922500.82 
201918.91 ,3922500.82 
